,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
243,Garang Kuol,2,0,37,0,0,1,1,0,0,0,0,0,0,3,5,60,0,0,0,1,0,0,10,0,2,0,1,0,0,0,0,0,0,1,2,"FW,MF",17,au,Central Coast,Australia
244,Jason Cummings,1,0,35,0,0,0,0,,,0,0,0,0,4,6,66.7,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,1,FW,26,au,Central Coast,Australia
245,Awer Mabil,2,0,24,0,0,0,0,,,0,0,0,0,10,14,71.4,0,0,1,1,0,0,19,0,1,0,0,0,0,0,0,0,0,0,2,MF,26,es,Cádiz,Australia
246,Bailey Wright,1,0,17,0,0,0,0,,,0,0,0,0,1,3,33.3,0,0,0,0,2,0,5,0,0,,0,0,0,0,0,0,0,1,3,DF,29,eng,Sunderland,Australia
247,Manuel Akanji,4,4,360,1,0,4,1,0.25,1,1,0,1,0,229,259,88.4,4,2,4,3,12,0,290,0,0,,4,1,0,1,0,0,0,9,2,DF,26,eng,Manchester City,Switzerland
248,Granit Xhaka,4,4,360,0,0,6,3,0,0,0,0,1,0,215,243,88.5,6,4,3,2,7,0,274,1,2,50,5,4,0,0,0,0,0,7,5,MF,29,eng,Arsenal,Switzerland
249,Ricardo Rodríguez,4,4,359,0,0,0,0,,,0,0,0,0,164,229,71.6,7,2,1,0,8,0,253,0,0,,6,2,0,12,0,0,0,10,2,DF,29,it,Torino,Switzerland
250,Breel Embolo,4,4,323,2,0,6,3,0.33,0.67,2,0,0,0,46,62,74.2,1,0,2,0,1,0,91,2,6,33.3,3,12,2,0,0,0,0,2,8,FW,25,fr,Monaco,Switzerland
251,Remo Freuler,4,4,323,1,0,3,1,0.33,1,1,0,0,0,127,154,82.5,8,5,3,3,3,1,197,0,4,0,6,2,0,0,0,0,0,1,4,MF,30,eng,Nott'ham Forest,Switzerland
252,Ruben Vargas,4,4,285,0,1,3,1,0,0,0,0,1,0,80,117,68.4,0,0,2,1,4,0,144,1,7,14.3,4,2,1,15,0,0,0,3,6,FW,23,de,Augsburg,Switzerland
253,Djibril Sow,4,4,264,0,1,2,0,0,,0,0,0,0,84,97,86.6,2,1,0,2,0,0,115,0,2,0,2,7,0,1,0,0,0,1,2,MF,25,de,Eint Frankfurt,Switzerland
254,Yann Sommer,3,3,270,0,0,0,0,,,0,0,0,0,108,118,91.5,0,0,0,0,0,0,126,0,0,,0,0,0,0,0,0,0,0,1,GK,33,de,M'Gladbach,Switzerland
255,Silvan Widmer,3,3,265,0,1,1,0,0,,0,0,1,0,127,169,75.1,10,6,3,2,15,0,211,1,2,50,4,2,0,2,0,0,0,3,1,DF,29,de,Mainz 05,Switzerland
256,Xherdan Shaqiri,3,3,229,1,1,4,2,0.25,0.5,1,0,0,0,67,104,64.4,0,0,0,0,0,0,113,0,3,0,2,6,0,15,0,0,0,1,4,"FW,MF",30,us,Chicago Fire,Switzerland
257,Nico Elvedi,2,2,180,0,0,1,0,0,,0,0,1,0,131,142,92.3,2,0,5,1,13,0,165,0,0,,3,1,0,0,0,0,0,2,3,DF,25,de,M'Gladbach,Switzerland
